form_key;form_id;form_version;form_label;urn;type;element_label;mandatory;repeatable;position
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:111:1;dataelement;Most common drink consumed;False;False;5
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:374:1;dataelement;Hospitalization?;False;False;7
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:204:1;dataelement;Origin at the time of hospital admission;True;False;8
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:205:1;dataelement;Site of hospital admission;True;False;9
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:206:1;dataelement;Reason(s) for hospital admission;True;False;10
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:346:1;dataelement;If other, please specify;False;False;11
228_9_Data at visit;228;9;Data at visit;urn:osse-11:dataelement:207:1;dataelement;Main reason for hospital admission;True;False;12
236_2_Status;236;2;Status;urn:osse-11:dataelement:8:1;dataelement;Status;False;False;0
236_2_Status;236;2;Status;urn:osse-11:dataelement:338:1;dataelement;Patient's vital status;True;False;1
236_2_Status;236;2;Status;urn:osse-11:dataelement:339:1;dataelement;Date of Death;False;False;3
236_2_Status;236;2;Status;urn:osse-11:dataelement:340:1;dataelement;In-hospital death;False;False;4
236_2_Status;236;2;Status;urn:osse-11:dataelement:341:1;dataelement;Cause(s) of death;False;False;5
236_2_Status;236;2;Status;urn:osse-11:dataelement:342:1;dataelement;Other cause of death specification:;False;False;7
236_2_Status;236;2;Status;urn:osse-11:dataelement:343:1;dataelement;Liver transplantation since last contact;True;False;9
236_2_Status;236;2;Status;urn:osse-11:dataelement:344:1;dataelement;Date of liver transplantation;False;False;10
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:241:1;dataelement;Has blood analysis been performed?;True;False;0
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:242:1;dataelement;Date of Collection;False;False;1
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:348:1;dataelement;Hemoglobin;False;False;4
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:244:1;dataelement;Hematocrit;False;False;5
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:245:1;dataelement;Leucocyte (Absolute);False;False;6
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:246:1;dataelement;Leucocytes (%);False;False;7
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:247:1;dataelement;Lymphocytes;False;False;8
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:248:1;dataelement;Lymphocytes (%);False;False;9
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:249:1;dataelement;Monocytes (Absolute);False;False;10
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:250:1;dataelement;Monocytes (%);False;False;11
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:251:1;dataelement;Neutrophils (Absolute);False;False;12
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:252:1;dataelement;Immature neutrophils (%);False;False;13
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:253:1;dataelement;Platelet count;False;False;14
231_12_Laboratory data 1;231;12;Laboratory data 1;urn:osse-11:dataelement:254:1;dataelement;Prothrombin time;False;False;15
