dataelement_id;dataelement_version;dataelement_urn;status;language;dataelement_designation;dataelement_definition;datatype;format;slots
237;1;urn:osse-11:dataelement:237:1;RELEASED;en;Flapping tremor;Flapping tremor;enumerated;enumerated;SELECT_ONE_RADIO
238;1;urn:osse-11:dataelement:238:1;RELEASED;en;Heart rate;Heart rate;INTEGER;0<=x<=200;
239;1;urn:osse-11:dataelement:239:1;RELEASED;en;Temperature;Temperature;FLOAT;0<=x<=50;
240;1;urn:osse-11:dataelement:240:1;RELEASED;en;Respiratory rate;Respiratory rate;INTEGER;0<=x<=100;
241;1;urn:osse-11:dataelement:241:1;RELEASED;en;Has blood analysis been performed?;Has blood analysis been performed?;enumerated;enumerated;SELECT_ONE_RADIO
242;1;urn:osse-11:dataelement:242:1;RELEASED;en;Date of Collection;Date of Collection;DATE;DD.MM.YYYY;
243;1;urn:osse-11:dataelement:243:1;RELEASED;en;Hemoglobin;Hemoglobin;INTEGER;0<=x<=300;
244;1;urn:osse-11:dataelement:244:1;RELEASED;en;Hematocrit;Hematocrit;FLOAT;0<=x<=100;
245;1;urn:osse-11:dataelement:245:1;RELEASED;en;Leucocyte (Absolute);Leucocyte (Absolute);FLOAT;0<=x;
246;1;urn:osse-11:dataelement:246:1;RELEASED;en;Leucocytes (%);Leucocytes (%);FLOAT;0<=x<=100;
247;1;urn:osse-11:dataelement:247:1;RELEASED;en;Lymphocytes;Lymphocytes;FLOAT;0<=x<=100;
248;1;urn:osse-11:dataelement:248:1;RELEASED;en;Lymphocytes (%);Lymphocytes (%);FLOAT;0<=x<=100;
249;1;urn:osse-11:dataelement:249:1;RELEASED;en;Monocytes (Absolute);Monocytes (Absolute);FLOAT;0<=x;
250;1;urn:osse-11:dataelement:250:1;RELEASED;en;Monocytes (%);Monocytes (%);FLOAT;0<=x<=100;
251;1;urn:osse-11:dataelement:251:1;RELEASED;en;Neutrophils (Absolute);Neutrophils (Absolute);FLOAT;0<=x;
252;1;urn:osse-11:dataelement:252:1;RELEASED;en;Immature neutrophils (%);Immature neutrophils (%);FLOAT;0<=x<=100;
253;1;urn:osse-11:dataelement:253:1;RELEASED;en;Platelet count;Platelet count;INTEGER;0<=x;
254;1;urn:osse-11:dataelement:254:1;RELEASED;en;Prothrombin time;Prothrombin time;INTEGER;0<=x<=100;
255;1;urn:osse-11:dataelement:255:1;RELEASED;en;Control prothrombin time;Control prothrombin time;INTEGER;0<=x<=100;
256;1;urn:osse-11:dataelement:256:1;RELEASED;en;INR;INR;FLOAT;0<=x<=100;
257;1;urn:osse-11:dataelement:257:1;RELEASED;en;Quick (%);Quick (%);INTEGER;0<=x<=100;
258;1;urn:osse-11:dataelement:258:1;RELEASED;en;ISI;ISI;FLOAT;0<=x;
259;1;urn:osse-11:dataelement:259:1;RELEASED;en;Albumin;Albumin;INTEGER;0<=x<=100;
260;1;urn:osse-11:dataelement:260:1;RELEASED;en;AST;AST;FLOAT;0<=x;
261;1;urn:osse-11:dataelement:261:1;RELEASED;en;ALT;ALT;FLOAT;0<=x<=100;
262;1;urn:osse-11:dataelement:262:1;RELEASED;en;Alkaline phosphatase;Alkaline phosphatase;FLOAT;0<=x;
263;1;urn:osse-11:dataelement:263:1;RELEASED;en;GGT;GGT;FLOAT;0<=x;
264;1;urn:osse-11:dataelement:264:1;RELEASED;en;Total Bilirubin;Total Bilirubin;FLOAT;0<=x;
265;1;urn:osse-11:dataelement:265:1;RELEASED;en;Creatinine;Creatinine;FLOAT;0<=x;
266;1;urn:osse-11:dataelement:266:1;RELEASED;en;Sodium;Sodium;FLOAT;0<=x<=200;
267;1;urn:osse-11:dataelement:267:1;RELEASED;en;Potassium;Potassium;FLOAT;0<=x;
268;1;urn:osse-11:dataelement:268:1;RELEASED;en;Glucose;Glucose;FLOAT;0<=x;
269;1;urn:osse-11:dataelement:269:1;RELEASED;en;Total cholesterol;Total cholesterol;FLOAT;0<=x;
270;1;urn:osse-11:dataelement:270:1;RELEASED;en;HDL-Cholesterol;HDL-Cholesterol;FLOAT;0<=x;
271;1;urn:osse-11:dataelement:271:1;RELEASED;en;LDL-Cholesterol;LDL-Cholesterol;FLOAT;0<=x;
272;1;urn:osse-11:dataelement:272:1;RELEASED;en;Triglycerides;Triglycerides;FLOAT;0<=x;
273;1;urn:osse-11:dataelement:273:1;RELEASED;en;C-reactive protein (CRP);C-reactive protein (CRP);FLOAT;0<=x;
274;1;urn:osse-11:dataelement:274:1;RELEASED;en;Has urine analysis been performed?;Has urine analysis been performed?;enumerated;enumerated;SELECT_ONE_RADIO
275;1;urn:osse-11:dataelement:275:1;RELEASED;en;Date of Collection;Date of Collection of urine;DATE;YYYY-MM-DD;
276;1;urn:osse-11:dataelement:276:1;RELEASED;en;Leukocytes reagent strip result;Leukocytes reagent strip result;enumerated;enumerated;SELECT_ONE_RADIO
277;1;urn:osse-11:dataelement:277:1;RELEASED;en;Urine Albumin;Urine Albumin;enumerated;enumerated;SELECT_ONE_RADIO
278;1;urn:osse-11:dataelement:278:1;RELEASED;en;Leukocytes per field;Leukocytes per field;INTEGER;0<=x;
279;1;urn:osse-11:dataelement:279:1;RELEASED;en;Has arterial blood sample been collected;Has arterial blood sample been collected;enumerated;enumerated;SELECT_ONE_RADIO
280;1;urn:osse-11:dataelement:280:1;RELEASED;en;Date of arterial blood sample  collection;Date of arterial blood sample  collection;DATE;DD.MM.YYYY;
281;1;urn:osse-11:dataelement:281:1;RELEASED;en;PHa;PHa;FLOAT;0<=x<=14;
282;1;urn:osse-11:dataelement:282:1;RELEASED;en;PaO2;PaO2;FLOAT;0<=x;
283;1;urn:osse-11:dataelement:283:1;RELEASED;en;PaCO2;PaCO2;FLOAT;0<=x;
