PID;form_id;form_version;form_key;form_label;type;record_urn;dataelement_urn;source_id;mandatory;repeatable;position;resolution_status
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:112:1;X_227_0_112;True;False;1;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:158:1;X_227_0_158;False;False;8;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:159:1;X_227_0_159;False;False;9;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:162:1;X_227_0_162;False;False;12;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:169:1;X_227_0_169;False;False;16;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:170:1;X_227_0_170;False;False;17;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:171:1;X_227_0_171;False;False;18;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:172:1;X_227_0_172;False;False;19;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:173:1;X_227_0_173;False;False;20;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:174:1;X_227_0_174;False;False;21;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:180:1;X_227_0_180;False;False;24;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:185:1;X_227_0_185;False;False;27;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:188:1;X_227_0_188;False;False;29;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:193:1;X_227_0_193;False;False;33;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:195:1;X_227_0_195;False;True;34;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:194:1;X_227_0_194;False;False;36;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;dataelement;;urn:osse-11:dataelement:196:1;X_227_0_196;False;True;37;direct_resolved
197;227;3;227_3_Previous treatments;Previous treatments;record;urn:osse-11:record:31:1;urn:osse-11:dataelement:138:1;X_227_31_138;False;False;3;record_resolved
