form;formid_version;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit_measure;id;form_id;form_version
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:223:1;9. Acute alcoholic-steatohepatitis (ASH);9. Acute alcoholic-steatohepatitis (ASH);false;false;enumerated;enumerated;;194;229;3
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:224:1;10. Acute viral hepatitis superimposed to cirrhosis (suspected/confirmed);10. Acute viral hepatitis superimposed to cirrhosis (suspected/confirmed);false;false;enumerated;enumerated;;195;229;3
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:225:1;11. Suspected drug-induced liver injury;11. Suspected drug-induced liver injury;false;false;enumerated;enumerated;;196;229;3
Clinical features;229:3;Longitudinal;;;;;urn:osse-11:dataelement:227:1;13. Other relevant clinical events;13. Other relevant clinical events;false;false;STRING;;;201;229;3
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:232:1;Physical examination date;Physical examination date;true;false;DATE;DD.MM.YYYY;;206;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:233:1;Race;Race;true;false;enumerated;enumerated;;207;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:349:1;Weight (Kg);Weight (Kg);false;false;FLOAT;0<=x<=400;kg;208;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:350:1;Height (cm);Height (cm);false;false;INTEGER;0<=x<=300;cm;209;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:236:1;BMI;Formula: BMI= Weight (Kg)/Height2(m);false;false;FLOAT;0<=x<=100;;210;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:237:1;Flapping tremor;Flapping tremor;false;false;enumerated;enumerated;;211;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:67:1;Systolic Blood Pressure;Systolic Blood Pressure;false;false;INTEGER;0<=x<=300;mmHg;212;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:68:1;Diastolic Blood Pressure;Diastolic Blood Pressure;false;false;INTEGER;0<=x<=300;mmHg;213;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:69:1;Mean Arterial Pressure ;Formula: MAP= (2*DBP+SBP)/3;false;false;FLOAT;0<=x<=300;mmHg;214;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:238:1;Heart rate;Heart rate;false;false;INTEGER;0<=x<=200;bpm;215;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:239:1;Temperature;Temperature;false;false;FLOAT;0<=x<=50;�C;216;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:240:1;Respiratory rate;Respiratory rate;false;false;INTEGER;0<=x<=100;bpm;217;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:73:1;SpO2;SpO2;false;false;INTEGER;0<=x<=100;%;218;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:74:1;Supplemental oxygen (including mechanical ventilation);Supplemental oxygen (including mechanical ventilation);false;false;enumerated;enumerated;;219;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:75:1;FiO2;"FiO2 (If Supplemental oxygen is ""No""): 21% (0.21 for internal calculation)";false;false;INTEGER;0<=x<=1000;;220;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:84:1;If Mechanical ventilation-Reason for mechanical ventilation;Reason for mechanical ventilation;false;false;enumerated;enumerated;;229;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:85:1;Type of mechanical ventilation;Type of mechanical ventilation;false;false;enumerated;enumerated;;230;230;8
Physical examination;230:8;Longitudinal;;;;;urn:osse-11:dataelement:79:1;FiO2;FiO2;false;false;INTEGER;0<=x<=200;%;231;230;8
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:241:1;Has blood analysis been performed?;Has blood analysis been performed?;true;false;enumerated;enumerated;;232;231;11
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:242:1;Date of Collection;Date of Collection;false;false;DATE;DD.MM.YYYY;;233;231;11
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:348:1;Hemoglobin;Hemoglobin;false;false;FLOAT;0<=x<=300;g/dl;234;231;11
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:244:1;Hematocrit;Hematocrit;false;false;FLOAT;0<=x<=100;%;235;231;11
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:245:1;Leucocyte (Absolute);Leucocyte (Absolute);false;false;FLOAT;0<=x;/nl;236;231;11
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:246:1;Leucocytes (%);Leucocytes (%);false;false;FLOAT;0<=x<=100;%;237;231;11
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:247:1;Lymphocytes;Lymphocytes;false;false;FLOAT;0<=x<=100;/nl;238;231;11
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:248:1;Lymphocytes (%);Lymphocytes (%);false;false;FLOAT;0<=x<=100;%;239;231;11
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:249:1;Monocytes (Absolute);Monocytes (Absolute);false;false;FLOAT;0<=x;/nl;240;231;11
Laboratory data 1;231:11;Longitudinal;;;;;urn:osse-11:dataelement:250:1;Monocytes (%);Monocytes (%);false;false;FLOAT;0<=x<=100;%;241;231;11
